location,summer_dhd50_max,predicted_change,lower_bound,upper_bound
Jurien,4.514575958,6.321467711,2.788965224,10.26114894
Jurien,4.729509363,6.291157218,2.771371717,10.22360746
Jurien,4.944442768,6.260846724,2.75377821,10.18606598
Jurien,5.159376173,6.23053623,2.736184703,10.13379233
Jurien,5.374309578,6.200225737,2.718591196,10.074742
Jurien,5.589242983,6.169915243,2.700997689,10.01540054
Jurien,5.804176388,6.139604749,2.683404182,9.966859903
Jurien,6.019109793,6.109294256,2.663701605,9.926894478
Jurien,6.234043198,6.078983762,2.638493936,9.886929052
Jurien,6.448976603,6.048673269,2.613286266,9.846457127
Jurien,6.663910008,6.018362775,2.588078596,9.794422548
Jurien,6.878843413,5.988052281,2.562870926,9.742387968
Jurien,7.093776817,5.957741788,2.537663256,9.690353389
Jurien,7.308710222,5.927431294,2.512455587,9.63831881
Jurien,7.523643627,5.8971208,2.486981563,9.58628423
Jurien,7.738577032,5.866810307,2.458073343,9.542214564
Jurien,7.953510437,5.836499813,2.429165123,9.512587074
Jurien,8.168443842,5.806189319,2.400256904,9.474171373
Jurien,8.383377247,5.775878826,2.371348684,9.415510465
Jurien,8.598310652,5.745568332,2.342440464,9.357200258
Jurien,8.813244057,5.715257839,2.313532245,9.321225106
Jurien,9.028177462,5.684947345,2.284624025,9.285249954
Jurien,9.243110867,5.654636851,2.259613745,9.249091846
Jurien,9.458044272,5.624326358,2.237897247,9.212847085
Jurien,9.672977677,5.594015864,2.216180749,9.176602324
Jurien,9.887911082,5.56370537,2.19446425,9.140357563
Jurien,10.10284449,5.533394877,2.172747752,9.104112802
Jurien,10.31777789,5.503084383,2.151031253,9.067868041
Jurien,10.5327113,5.47277389,2.12950045,9.03162328
Jurien,10.7476447,5.442463396,2.108006328,8.995378519
Jurien,10.96257811,5.412152902,2.082939025,8.959038761
Jurien,11.17751151,5.381842409,2.057764476,8.922335197
Jurien,11.39244492,5.351531915,2.032589927,8.885631633
Jurien,11.60737832,5.321221421,2.007415379,8.836580376
Jurien,11.82231173,5.290910928,1.98224083,8.779139212
Jurien,12.03724513,5.260600434,1.957066281,8.721535418
Jurien,12.25217854,5.23028994,1.931891732,8.664025099
Jurien,12.46711194,5.199979447,1.906717183,8.606546839
Jurien,12.68204535,5.169668953,1.886306785,8.54906858
Jurien,12.89697875,5.13935846,1.865976892,8.491590321
Jurien,13.11191216,5.109047966,1.845646999,8.434112062
Jurien,13.32684556,5.078737472,1.82490722,8.386086578
Jurien,13.54177897,5.048426979,1.790793561,8.349466442
Jurien,13.75671237,5.018116485,1.756679902,8.312846305
Jurien,13.97164578,4.987805991,1.729424542,8.275827777
Jurien,14.18657918,4.957495498,1.703896564,8.246196305
Jurien,14.40151259,4.927185004,1.678551203,8.220072791
Jurien,14.61644599,4.89687451,1.653372645,8.193949278
Jurien,14.83137939,4.866564017,1.628194088,8.155158871
Jurien,15.0463128,4.836253523,1.59989541,8.092903776
Jurien,15.2612462,4.80594303,1.577299344,8.05443096
Jurien,15.47617961,4.775632536,1.55161076,8.018109821
Jurien,15.69111301,4.745322042,1.525922176,7.981788682
Jurien,15.90604642,4.715011549,1.500233592,7.945467544
Jurien,16.12097982,4.684701055,1.474574998,7.909146405
Jurien,16.33591323,4.654390561,1.44948564,7.872825266
Jurien,16.55084663,4.624080068,1.424396281,7.836504128
Jurien,16.76578004,4.593769574,1.399306923,7.800164392
Jurien,16.98071344,4.563459081,1.374217564,7.763544256
Jurien,17.19564685,4.533148587,1.349128206,7.726873876
Jurien,17.41058025,4.502838093,1.324038847,7.69261893
Jurien,17.62551366,4.4725276,1.298949489,7.659093979
Jurien,17.84044706,4.442217106,1.27386013,7.625569029
Jurien,18.05538047,4.411906612,1.24670144,7.592044079
Jurien,18.27031387,4.381596119,1.223423731,7.558519129
Jurien,18.48524728,4.351285625,1.198034253,7.524994179
Jurien,18.70018068,4.320975131,1.172644775,7.491469228
Jurien,18.91511409,4.290664638,1.147461857,7.457944278
Jurien,19.13004749,4.260354144,1.122325797,7.424333913
Jurien,19.3449809,4.230043651,1.101984925,7.390198133
Jurien,19.5599143,4.199733157,1.071728267,7.356062353
Jurien,19.77484771,4.169422663,1.04627607,7.312348263
Jurien,19.98978111,4.13911217,1.020823873,7.249035089
Jurien,20.20471452,4.108801676,0.995371676,7.211959787
Jurien,20.41964792,4.078491182,0.969919479,7.175433767
Jurien,20.63458133,4.048180689,0.944467282,7.138907746
Jurien,20.84951473,4.017870195,0.919015085,7.102381726
Jurien,21.06444814,3.987559702,0.893562888,7.066642525
Jurien,21.27938154,3.957249208,0.868110691,7.032331375
Jurien,21.49431495,3.926938714,0.842658494,6.998020224
Jurien,21.70924835,3.896628221,0.817206297,6.963709074
Jurien,21.92418176,3.866317727,0.7918026,6.929397923
Jurien,22.13911516,3.836007233,0.766413122,6.895025654
Jurien,22.35404857,3.80569674,0.741023644,6.860557506
Jurien,22.56898197,3.775386246,0.715844073,6.826089359
Jurien,22.78391538,3.745075752,0.690803301,6.793969028
Jurien,22.99884878,3.714765259,0.665762529,6.762518365
Jurien,23.21378219,3.684454765,0.640721758,6.731067701
Jurien,23.42871559,3.654144272,0.602513786,6.699617037
