location,summer_dtdt_max,predicted_change,lower_bound,upper_bound
Jurien,0.089500234,6.890655367,1.250545163,12.9937813
Jurien,0.090637268,6.721889745,1.191808143,12.69816811
Jurien,0.091774302,6.553124124,1.133071122,12.40255492
Jurien,0.092911336,6.384358503,1.074666022,12.10522391
Jurien,0.09404837,6.215592882,1.016658043,11.82684229
Jurien,0.095185404,6.04682726,0.982863618,11.51153534
Jurien,0.096322438,5.878061639,0.946771298,11.21591297
Jurien,0.097459473,5.709296018,0.910678979,10.9202906
Jurien,0.098596507,5.540530396,0.87458666,10.62466823
Jurien,0.099733541,5.371764775,0.806653778,10.32904586
Jurien,0.100870575,5.202999154,0.761548238,10.04405226
Jurien,0.102007609,5.034233532,0.677630243,9.870682344
Jurien,0.103144643,4.865467911,0.594429941,9.623310363
Jurien,0.104281678,4.69670229,0.49288182,9.356156856
Jurien,0.105418712,4.527936668,0.431346625,9.056084153
Jurien,0.106555746,4.359171047,0.343069469,8.781633503
Jurien,0.10769278,4.190405426,0.195929794,8.493398118
Jurien,0.108829814,4.021639804,0.100489023,8.233752619
Jurien,0.109966848,3.852874183,0.031334917,7.983648556
Jurien,0.111103883,3.684108562,-0.117466722,7.723822538
Jurien,0.112240917,3.515342941,-0.258359143,7.487975073
Jurien,0.113377951,3.346577319,-0.284331439,7.194534411
Jurien,0.114514985,3.177811698,-0.383688548,6.885769774
Jurien,0.115652019,3.009046077,-0.515736709,6.63923384
Jurien,0.116789053,2.840280455,-0.57056167,6.419109456
Jurien,0.117926087,2.671514834,-0.623305071,6.139668822
Jurien,0.119063122,2.502749213,-0.71494433,5.857878122
Jurien,0.120200156,2.333983591,-0.783356985,5.60469171
Jurien,0.12133719,2.16521797,-0.917376237,5.350742038
Jurien,0.122474224,1.996452349,-1.090653771,5.124115807
Jurien,0.123611258,1.827686727,-1.197683728,4.846798493
Jurien,0.124748292,1.658921106,-1.301851976,4.593165452
Jurien,0.125885327,1.490155485,-1.394236609,4.378607017
Jurien,0.127022361,1.321389863,-1.58847454,4.175563001
Jurien,0.128159395,1.152624242,-1.76306524,4.008093959
Jurien,0.129296429,0.983858621,-1.943054849,3.799785093
Jurien,0.130433463,0.815092999,-2.06603413,3.60246738
Jurien,0.131570497,0.646327378,-2.287921956,3.383897461
Jurien,0.132707532,0.477561757,-2.479374291,3.159636918
Jurien,0.133844566,0.308796136,-2.730563621,2.964695242
Jurien,0.1349816,0.140030514,-2.943895203,2.818782128
Jurien,0.136118634,-0.028735107,-3.165813992,2.63115919
Jurien,0.137255668,-0.197500728,-3.3311759,2.434598018
Jurien,0.138392702,-0.36626635,-3.523350213,2.285274723
Jurien,0.139529737,-0.535031971,-3.757332806,2.138313084
Jurien,0.140666771,-0.703797592,-3.998255883,2.029719072
Jurien,0.141803805,-0.872563214,-4.215873037,1.912051233
Jurien,0.142940839,-1.041328835,-4.422253429,1.79697285
Jurien,0.144077873,-1.210094456,-4.609009099,1.701979154
Jurien,0.145214907,-1.378860078,-4.86946838,1.59540358
Jurien,0.146351941,-1.547625699,-5.137706128,1.467263168
Jurien,0.147488976,-1.71639132,-5.361113923,1.344401241
Jurien,0.14862601,-1.885156942,-5.575069038,1.212129538
Jurien,0.149763044,-2.053922563,-5.7950922,1.049999009
Jurien,0.150900078,-2.222688184,-6.03852296,0.914588818
Jurien,0.152037112,-2.391453806,-6.293846224,0.809951456
Jurien,0.153174146,-2.560219427,-6.551150683,0.697439058
Jurien,0.154311181,-2.728985048,-6.808820705,0.600786346
Jurien,0.155448215,-2.897750669,-7.07486761,0.509099757
Jurien,0.156585249,-3.066516291,-7.352522552,0.453329584
Jurien,0.157722283,-3.235281912,-7.637503346,0.348422254
Jurien,0.158859317,-3.404047533,-7.924249625,0.222499779
Jurien,0.159996351,-3.572813155,-8.211315437,0.113901417
Jurien,0.161133386,-3.741578776,-8.497977444,0.003359117
Jurien,0.16227042,-3.910344397,-8.656629678,-0.054383454
Jurien,0.163407454,-4.079110019,-8.876784414,-0.150028933
Jurien,0.164544488,-4.24787564,-9.134574023,-0.216561694
