location,summer_inten_max,predicted_change,lower_bound,upper_bound
Jurien,0.964355469,7.796274298,4.019436767,12.733468
Jurien,0.96892337,7.763730863,3.993367911,12.6787635
Jurien,0.973491272,7.731187427,3.972992968,12.6077684
Jurien,0.978059173,7.698643992,3.953227027,12.55381553
Jurien,0.982627074,7.666100557,3.933461087,12.5109618
Jurien,0.987194976,7.633557122,3.913695146,12.46032545
Jurien,0.991762877,7.601013686,3.892123604,12.39121506
Jurien,0.996330779,7.568470251,3.865831745,12.32186351
Jurien,1.00089868,7.535926816,3.839539885,12.26314752
Jurien,1.005466581,7.503383381,3.813248026,12.22343536
Jurien,1.010034483,7.470839945,3.786956166,12.18273436
Jurien,1.014602384,7.43829651,3.759154835,12.12428268
Jurien,1.019170286,7.405753075,3.729881282,12.06583101
Jurien,1.023738187,7.373209639,3.700607729,12.00730085
Jurien,1.028306089,7.340666204,3.671334176,11.94847624
Jurien,1.03287399,7.308122769,3.647536104,11.88965163
Jurien,1.037441891,7.275579334,3.626077857,11.83082702
Jurien,1.042009793,7.243035898,3.603362881,11.77200241
Jurien,1.046577694,7.210492463,3.577139449,11.71472099
Jurien,1.051145596,7.177949028,3.550916018,11.67050282
Jurien,1.055713497,7.145405592,3.524692587,11.62628465
Jurien,1.060281398,7.112862157,3.498469155,11.58206648
Jurien,1.0648493,7.080318722,3.474489694,11.53784831
Jurien,1.069417201,7.047775287,3.454862254,11.49363015
Jurien,1.073985103,7.015231851,3.435246315,11.44941198
Jurien,1.078553004,6.982688416,3.412953573,11.40519381
Jurien,1.083120905,6.950144981,3.385976265,11.35922619
Jurien,1.087688807,6.917601546,3.36392217,11.30534416
Jurien,1.092256708,6.88505811,3.341907325,11.25146213
Jurien,1.09682461,6.852514675,3.319945033,11.1975801
Jurien,1.101392511,6.81997124,3.298009848,11.15206088
Jurien,1.105960413,6.787427804,3.276194633,11.10884279
Jurien,1.110528314,6.754884369,3.254379418,11.0656247
Jurien,1.115096215,6.722340934,3.234342876,11.0224066
Jurien,1.119664117,6.689797499,3.216620674,10.97918851
Jurien,1.124232018,6.657254063,3.193132792,10.93597042
Jurien,1.12879992,6.624710628,3.166742231,10.89275232
Jurien,1.133367821,6.592167193,3.144698527,10.84953423
Jurien,1.137935722,6.559623758,3.122654823,10.80631614
Jurien,1.142503624,6.527080322,3.100611119,10.7636309
Jurien,1.147071525,6.494536887,3.076411467,10.72459083
Jurien,1.151639427,6.461993452,3.051991336,10.68555076
Jurien,1.156207328,6.429450016,3.027711382,10.64651068
Jurien,1.160775229,6.396906581,3.003501209,10.60747061
Jurien,1.165343131,6.364363146,2.979291036,10.56843054
Jurien,1.169911032,6.331819711,2.956471865,10.52580282
Jurien,1.174478934,6.299276275,2.93796599,10.48196521
Jurien,1.179046835,6.26673284,2.919460116,10.43812761
Jurien,1.183614737,6.234189405,2.900954241,10.39429
Jurien,1.188182638,6.20164597,2.881146897,10.3504524
Jurien,1.192750539,6.169102534,2.859163038,10.30660558
Jurien,1.197318441,6.136559099,2.837179178,10.26254157
Jurien,1.201886342,6.104015664,2.815195318,10.21847756
Jurien,1.206454244,6.071472228,2.789137774,10.17441355
Jurien,1.211022145,6.038928793,2.762190483,10.13034954
Jurien,1.215590046,6.006385358,2.735243192,10.08628553
Jurien,1.220157948,5.973841923,2.706190436,10.04222152
Jurien,1.224725849,5.941298487,2.670544707,9.998157505
Jurien,1.229293751,5.908755052,2.638271783,9.950871829
Jurien,1.233861652,5.876211617,2.613768209,9.902912613
Jurien,1.238429554,5.843668182,2.589429491,9.855274755
Jurien,1.242997455,5.811124746,2.565090772,9.807006102
Jurien,1.247565356,5.778581311,2.540752053,9.759155338
Jurien,1.252133258,5.746037876,2.516413334,9.711304574
Jurien,1.256701159,5.71349444,2.492082061,9.663453811
Jurien,1.261269061,5.680951005,2.467785507,9.615603047
Jurien,1.265836962,5.64840757,2.443397178,9.567752283
Jurien,1.270404863,5.615864135,2.419058459,9.519901519
Jurien,1.274972765,5.583320699,2.39471974,9.471894032
Jurien,1.279540666,5.550777264,2.370381022,9.423859729
Jurien,1.284108568,5.518233829,2.346239639,9.375825425
Jurien,1.288676469,5.485690394,2.322720472,9.327791122
Jurien,1.29324437,5.453146958,2.29924893,9.279756819
Jurien,1.297812272,5.420603523,2.278452897,9.231722515
Jurien,1.302380173,5.388060088,2.257683548,9.183688212
Jurien,1.306948075,5.355516652,2.236914199,9.135653908
Jurien,1.311515976,5.322973217,2.21614485,9.087619605
Jurien,1.316083878,5.290429782,2.195375501,9.042129547
Jurien,1.320651779,5.257886347,2.174606152,8.998095473
Jurien,1.32521968,5.225342911,2.153836803,8.94798492
Jurien,1.329787582,5.192799476,2.133067454,8.911673298
Jurien,1.334355483,5.160256041,2.112298105,8.875361677
Jurien,1.338923385,5.127712606,2.091528756,8.837868831
Jurien,1.343491286,5.09516917,2.070759407,8.77546765
Jurien,1.348059187,5.062625735,2.036272738,8.713066469
Jurien,1.352627089,5.0300823,1.998522011,8.656999311
Jurien,1.35719499,4.997538864,1.975646255,8.608809222
Jurien,1.361762892,4.964995429,1.956493936,8.560619134
Jurien,1.366330793,4.932451994,1.937341617,8.512429045
Jurien,1.370898694,4.899908559,1.918189298,8.464238957
Jurien,1.375466596,4.867365123,1.899036979,8.416048868
Jurien,1.380034497,4.834821688,1.87988466,8.36785878
Jurien,1.384602399,4.802278253,1.859023479,8.314463466
Jurien,1.3891703,4.769734818,1.834733888,8.272017536
Jurien,1.393738202,4.737191382,1.810444297,8.224440538
Jurien,1.398306103,4.704647947,1.786154706,8.176863539
Jurien,1.402874004,4.672104512,1.761865116,8.129286541
Jurien,1.407441906,4.639561076,1.737575525,8.081709542
Jurien,1.412009807,4.607017641,1.713285934,8.034132543
Jurien,1.416577709,4.574474206,1.688996344,7.986210275
Jurien,1.42114561,4.541930771,1.664706753,7.938255759
Jurien,1.425713511,4.509387335,1.640417162,7.897428678
Jurien,1.430281413,4.4768439,1.616127572,7.862331701
Jurien,1.434849314,4.444300465,1.591837981,7.827234723
Jurien,1.439417216,4.41175703,1.56754839,7.792137746
Jurien,1.443985117,4.379213594,1.5432588,7.757040768
Jurien,1.448553019,4.346670159,1.518969209,7.721943791
Jurien,1.45312092,4.314126724,1.491429046,7.686846814
Jurien,1.457688821,4.281583288,1.463599196,7.639131395
Jurien,1.462256723,4.249039853,1.435769345,7.593824993
Jurien,1.466824624,4.216496418,1.407939494,7.537257591
Jurien,1.471392526,4.183952983,1.382773137,7.48069019
Jurien,1.475960427,4.151409547,1.354891343,7.424122788
Jurien,1.480528328,4.118866112,1.324126529,7.367555386
Jurien,1.48509623,4.086322677,1.296082832,7.310987985
Jurien,1.489664131,4.053779242,1.268039134,7.259618356
Jurien,1.494232033,4.021235806,1.239995437,7.218979665
Jurien,1.498799934,3.988692371,1.21215525,7.178340974
Jurien,1.503367835,3.956148936,1.181800146,7.137702283
Jurien,1.507935737,3.9236055,1.156408856,7.097063592
Jurien,1.512503638,3.891062065,1.128557438,7.058486306
Jurien,1.51707154,3.85851863,1.10358672,7.024853404
Jurien,1.521639441,3.825975195,1.079136918,6.982998851
Jurien,1.526207343,3.793431759,1.049215088,6.935669333
Jurien,1.530775244,3.760888324,1.018963403,6.894032171
Jurien,1.535343145,3.728344889,0.988862508,6.853555381
Jurien,1.539911047,3.695801454,0.960872881,6.800715507
Jurien,1.544478948,3.663258018,0.935231534,6.747741878
Jurien,1.54904685,3.630714583,0.908644116,6.699524723
Jurien,1.553614751,3.598171148,0.891769426,6.663671855
Jurien,1.558182652,3.565627712,0.869401994,6.629870746
Jurien,1.562750554,3.533084277,0.847034562,6.596069637
Jurien,1.567318455,3.500540842,0.82466713,6.562268528
Jurien,1.571886357,3.467997407,0.802299698,6.526878962
Jurien,1.576454258,3.435453971,0.777525673,6.47340337
