location,summer_temp_max,predicted_change,lower_bound,upper_bound
Maria Island,15.55362034,2.718271916,-0.792012377,6.289969571
Maria Island,15.55790082,2.713284195,-0.790765985,6.278205789
Maria Island,15.56218131,2.708296474,-0.789519593,6.266442008
Maria Island,15.5664618,2.703308753,-0.788273201,6.254678226
Maria Island,15.57074228,2.698321032,-0.787026809,6.242914444
Maria Island,15.57502277,2.693333312,-0.785780417,6.231150662
Maria Island,15.57930326,2.688345591,-0.784523657,6.219386881
Maria Island,15.58358374,2.68335787,-0.783227186,6.207623099
Maria Island,15.58786423,2.678370149,-0.781930715,6.195859317
Maria Island,15.59214472,2.673382428,-0.780634244,6.184095535
Maria Island,15.5964252,2.668394707,-0.779337773,6.172331753
Maria Island,15.60070569,2.663406986,-0.778041302,6.160567972
Maria Island,15.60498618,2.658419266,-0.779407092,6.14880419
Maria Island,15.60926666,2.653431545,-0.781646025,6.137040408
Maria Island,15.61354715,2.648443824,-0.783884959,6.125276626
Maria Island,15.61782764,2.643456103,-0.786123892,6.113512844
Maria Island,15.62210812,2.638468382,-0.788362826,6.101749063
Maria Island,15.62638861,2.633480661,-0.790601759,6.089972767
Maria Island,15.6306691,2.62849294,-0.792840692,6.078155686
Maria Island,15.63494958,2.62350522,-0.795079626,6.066338605
Maria Island,15.63923007,2.618517499,-0.797318559,6.054521523
Maria Island,15.64351056,2.613529778,-0.799557493,6.042704442
Maria Island,15.64779104,2.608542057,-0.801796426,6.030887361
Maria Island,15.65207153,2.603554336,-0.804035359,6.019070279
Maria Island,15.65635201,2.598566615,-0.806274293,6.007253198
Maria Island,15.6606325,2.593578894,-0.808513226,5.995436117
Maria Island,15.66491299,2.588591174,-0.81075216,5.983619035
Maria Island,15.66919347,2.583603453,-0.812991093,5.971801954
Maria Island,15.67347396,2.578615732,-0.812210685,5.959984873
Maria Island,15.67775445,2.573628011,-0.810764559,5.948167791
Maria Island,15.68203493,2.56864029,-0.809318432,5.93635071
Maria Island,15.68631542,2.563652569,-0.807872306,5.924533629
Maria Island,15.69059591,2.558664848,-0.806426179,5.912716547
Maria Island,15.69487639,2.553677128,-0.804980053,5.900899466
Maria Island,15.69915688,2.548689407,-0.803533927,5.889082385
Maria Island,15.70343737,2.543701686,-0.801999013,5.877265303
Maria Island,15.70771785,2.538713965,-0.800461788,5.865448222
Maria Island,15.71199834,2.533726244,-0.798924564,5.855248601
Maria Island,15.71627883,2.528738523,-0.797387339,5.846691812
Maria Island,15.72055931,2.523750802,-0.795850115,5.838135023
Maria Island,15.7248398,2.518763081,-0.79431289,5.829578235
Maria Island,15.72912029,2.513775361,-0.792775665,5.821021446
Maria Island,15.73340077,2.50878764,-0.791238441,5.812464657
Maria Island,15.73768126,2.503799919,-0.789701216,5.803907869
Maria Island,15.74196174,2.498812198,-0.788163992,5.79535108
Maria Island,15.74624223,2.493824477,-0.786626767,5.786794291
Maria Island,15.75052272,2.488836756,-0.785089542,5.778237503
Maria Island,15.7548032,2.483849035,-0.783552318,5.769680714
Maria Island,15.75908369,2.478861315,-0.782015093,5.761123925
Maria Island,15.76336418,2.473873594,-0.780477869,5.752567137
Maria Island,15.76764466,2.468885873,-0.778940644,5.744010348
Maria Island,15.77192515,2.463898152,-0.77740342,5.735453559
Maria Island,15.77620564,2.458910431,-0.775866195,5.726896771
Maria Island,15.78048612,2.45392271,-0.77432897,5.718339982
Maria Island,15.78476661,2.448934989,-0.772791746,5.709783193
Maria Island,15.7890471,2.443947269,-0.771254521,5.701226404
Maria Island,15.79332758,2.438959548,-0.769717297,5.692669616
Maria Island,15.79760807,2.433971827,-0.768180072,5.684112827
Maria Island,15.80188856,2.428984106,-0.766642847,5.675556038
Maria Island,15.80616904,2.423996385,-0.765105623,5.66699925
Maria Island,15.81044953,2.419008664,-0.763568398,5.658419476
Maria Island,15.81473002,2.414020943,-0.762031174,5.649822621
Maria Island,15.8190105,2.409033223,-0.760493949,5.641225767
Maria Island,15.82329099,2.404045502,-0.758956724,5.632628912
Maria Island,15.82757147,2.399057781,-0.7574195,5.624032058
Maria Island,15.83185196,2.39407006,-0.755882275,5.615435203
